Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Grayson County,2045,1599,507,1201,4437,2312,4616
Greene County,2045,5031,1405,2651,8427,3203,4995
Greensville County,2045,1267,626,1198,4376,1652,2457
Halifax County,2045,4955,1738,2999,9439,5062,8529
Hampton City,2045,23518,8381,18013,41136,23265,23048
Hanover County,2045,19941,6744,11142,40884,17033,32853
Harrisonburg City,2045,8185,7772,13302,16421,4441,7666
Henrico County,2045,73306,23379,50199,128267,46328,70311
Henry County,2045,7375,2507,4246,13220,6489,13640
Highland County,2045,213,50,375,603,468,644
Hopewell City,2045,5335,1375,2358,8481,4364,4267
Isle of Wight County,2045,7080,2154,4106,14233,7755,11443
James City County,2045,15204,4887,7944,29051,12721,37274
King and Queen County,2045,1130,203,676,2154,1028,1792
King George County,2045,7379,1899,3756,12753,4891,6776
King William County,2045,3576,1089,2588,6719,3372,4396
Lancaster County,2045,1527,480,1039,3056,1561,3568
Lee County,2045,2851,951,1680,7664,3615,5416
Lexington City,2045,462,1631,2255,1473,540,1464
Loudoun County,2045,149205,41042,72160,251423,53124,139571
Louisa County,2045,7556,2246,4667,15179,8118,10953
Lunenburg County,2045,1973,539,1218,3486,1662,2611
Lynchburg City,2045,14703,9983,17396,25490,9323,11987
Madison County,2045,2307,959,1254,4497,2824,3660
Manassas City,2045,13011,3543,7982,20120,5559,8166
Manassas Park City,2045,4257,1143,3544,8764,2034,3137
Martinsville City,2045,2871,889,1311,3702,1520,2507
Mathews County,2045,1248,349,805,2544,1048,2458
Mecklenburg County,2045,3819,1398,2530,8631,4634,8582
Middlesex County,2045,1645,402,1476,3365,1954,3344
Montgomery County,2045,14353,13093,23091,33219,10862,17361
Nelson County,2045,2541,669,1488,4217,2402,4281
New Kent County,2045,4829,1672,3182,10314,6318,7394
Newport News City,2045,35802,12702,28901,60000,28418,28673
Norfolk City,2045,39888,15207,45178,73142,39564,30591
Northampton County,2045,2214,457,1152,3835,1749,2888
Northumberland County,2045,1606,634,1111,3362,2113,3834
Norton City,2045,512,322,210,1155,400,797
Nottoway County,2045,2576,1240,1555,4910,2405,3310
Orange County,2045,7682,2063,4390,14299,6779,11221
Page County,2045,3695,1205,2405,7302,3684,6656
Patrick County,2045,2298,879,1204,4757,2201,5466
