Geo,Year,SFDU,MFDU,GQDU
510131033001,2024,290,105,0
510131033002,2024,0,950,0
510131034011,2024,5,67,896
510131034012,2024,1,0,0
510131034031,2024,8,1480,0
510131034041,2024,0,920,0
510131034051,2024,0,748,0
510131034052,2024,0,1047,0
510131034053,2024,0,691,0
510131035011,2024,22,793,0
510131035012,2024,28,400,0
510131035013,2024,31,1271,0
510131035031,2024,15,1068,0
510131035032,2024,0,1153,4
510131035033,2024,23,651,0
510131035034,2024,0,369,0
510131035035,2024,0,252,0
510131035041,2024,0,1245,0
510131035042,2024,0,831,0
510131035051,2024,0,583,0
510131035052,2024,8,683,0
510131035053,2024,0,570,0
510131035054,2024,0,422,0
510131036011,2024,368,8,0
510131036012,2024,250,50,1
510131036013,2024,297,144,0
510131036021,2024,0,352,0
510131036022,2024,0,448,0
510131037001,2024,389,10,13
510131037002,2024,579,67,0
510131038001,2024,39,447,0
510131038002,2024,38,577,0
510131038003,2024,0,580,0
510131038004,2024,29,924,0
510139801001,2024,0,0,6
510139802001,2024,1,0,0
510150701001,2024,466,145,0
510150701002,2024,306,74,0
510150701003,2024,548,0,0
510150701004,2024,15,0,0
510150702001,2024,636,17,0
510150702002,2024,407,7,0
510150702003,2024,441,13,0
510150703001,2024,809,109,0
510150703002,2024,655,0,0
510150703003,2024,172,0,0
510150703004,2024,754,45,0
510150704001,2024,739,70,0
510150704002,2024,862,0,0
510150704003,2024,604,0,0
510150705001,2024,239,0,0
510150705002,2024,565,0,8
510150705003,2024,917,0,39
510150705004,2024,534,0,0
510150706011,2024,353,190,0
510150706012,2024,604,60,0
510150706021,2024,194,358,20
510150706022,2024,751,380,67
510150706031,2024,748,330,8
510150706032,2024,822,35,0
510150707011,2024,481,0,0
510150707012,2024,666,56,0
510150707013,2024,553,88,2
510150707021,2024,441,29,0
510150707022,2024,539,0,0
510150708011,2024,431,0,0
510150708012,2024,548,5,1
510150708021,2024,749,0,0
510150708022,2024,405,55,0
510150708023,2024,457,15,0
510150708024,2024,170,0,0
510150709001,2024,551,0,0
510150709002,2024,421,112,0
510150709003,2024,147,209,0
510150709004,2024,726,99,6
510150710001,2024,471,0,0
510150710002,2024,637,0,0
510150710003,2024,973,41,0
510150710004,2024,544,0,0
510150711011,2024,202,141,0
510150711012,2024,506,108,0
510150711013,2024,346,18,0
510150711014,2024,306,386,0
510150711021,2024,366,11,0
510150711022,2024,327,0,0
510150711023,2024,644,55,0
510150711024,2024,1271,0,4
510150712011,2024,441,16,0
510150712012,2024,640,16,0
510150712021,2024,570,92,11
510150712022,2024,476,0,0
510150712023,2024,305,275,0
510179201011,2024,383,0,15
510179201012,2024,1099,13,0
510179201021,2024,830,143,0
510179201022,2024,436,60,0
510179201023,2024,264,0,0
510190301011,2024,435,52,0
510190301012,2024,529,329,0
510190301013,2024,626,8,7
510190301014,2024,1137,82,0
510190301031,2024,713,597,0
510190301032,2024,271,134,0
510190301033,2024,679,466,5
510190301034,2024,418,370,0
510190301041,2024,365,228,0
510190301042,2024,228,316,0
