Geo,Year,TotEmp,RetEmp,SvcEmp
510150701003,2024,57,14,8
510150701004,2024,273,0,0
510150702001,2024,71,0,22
510150702002,2024,38,3,11
510150702003,2024,68,5,3
510150703001,2024,733,77,433
510150703002,2024,392,2,267
510150703003,2024,826,1,27
510150703004,2024,250,0,72
510150704001,2024,69,0,17
510150704002,2024,356,8,36
510150704003,2024,78,7,27
510150705001,2024,108,5,64
510150705002,2024,90,0,27
510150705003,2024,132,11,76
510150705004,2024,177,25,17
510150706011,2024,405,35,142
510150706012,2024,303,10,142
510150706021,2024,606,47,330
510150706022,2024,4265,48,3493
510150706031,2024,539,104,369
510150706032,2024,427,3,214
510150707011,2024,135,0,36
510150707012,2024,543,22,112
510150707013,2024,4920,148,2707
510150707021,2024,273,13,19
510150707022,2024,154,1,31
510150708011,2024,89,39,10
510150708012,2024,88,0,57
510150708021,2024,119,2,74
510150708022,2024,93,0,19
510150708023,2024,45,1,22
510150708024,2024,6,0,5
510150709001,2024,162,17,20
510150709002,2024,453,187,221
510150709003,2024,630,343,22
510150709004,2024,956,104,184
510150710001,2024,78,5,47
510150710002,2024,145,2,76
510150710003,2024,295,80,42
510150710004,2024,131,7,52
510150711011,2024,1706,214,87
510150711012,2024,2541,34,90
510150711013,2024,159,26,79
510150711014,2024,131,5,28
510150711021,2024,72,35,11
510150711022,2024,98,15,36
510150711023,2024,2281,33,39
510150711024,2024,103,0,86
510150712011,2024,13,0,10
510150712012,2024,467,5,19
510150712021,2024,733,94,212
510150712022,2024,415,0,9
510150712023,2024,449,3,50
510179201011,2024,275,9,34
510179201012,2024,147,0,41
510179201021,2024,1076,55,209
510179201022,2024,166,8,75
510179201023,2024,253,0,223
510190301011,2024,67,1,16
510190301012,2024,207,0,35
510190301013,2024,76,6,40
510190301014,2024,84,4,41
510190301031,2024,118,1,40
510190301032,2024,1519,83,707
510190301033,2024,1208,458,498
510190301034,2024,2263,250,1158
510190301041,2024,31,9,17
510190301042,2024,645,9,328
510190301043,2024,400,83,213
510190302021,2024,364,83,121
510190302022,2024,244,2,69
510190302023,2024,265,7,109
510190302031,2024,581,0,28
510190302032,2024,128,9,57
510190302041,2024,357,2,82
510190302042,2024,350,83,117
510190303001,2024,75,12,33
510190303002,2024,484,1,57
510190304011,2024,50,7,12
510190304012,2024,113,6,13
510190304013,2024,122,10,49
510190304031,2024,107,15,27
510190304032,2024,242,18,170
510190304033,2024,117,31,49
510190304041,2024,26,5,9
510190304042,2024,332,10,160
510190304043,2024,1076,592,141
510190305011,2024,243,83,92
510190305012,2024,103,0,11
510190305013,2024,120,1,42
510190305031,2024,43,0,4
510190305032,2024,43,0,30
510190305033,2024,95,2,3
510190305041,2024,263,23,73
510190305042,2024,6,0,4
510190305043,2024,267,148,34
510190306011,2024,54,26,18
510190306012,2024,17,0,14
510190306013,2024,104,2,38
510190306021,2024,133,21,26
510190306022,2024,89,10,35
510190306023,2024,24,0,6
510190306031,2024,14,2,7
510190306032,2024,86,9,18
510190306041,2024,34,0,15
510190306042,2024,20,0,7
510190306051,2024,51,0,9
510190306052,2024,189,25,68
510190306053,2024,158,0,28
510190501011,2024,683,42,239
510190501012,2024,3153,113,2505
510190501021,2024,1001,26,113
510190501022,2024,856,99,515
510210401001,2024,130,2,14
510210401002,2024,457,9,10
510210401003,2024,514,29,53
510210402001,2024,495,5,194
510210402002,2024,346,45,167
510210402003,2024,27,9,12
510230401001,2024,26,12,3
