Geo,Year,TotEmp,RetEmp,SvcEmp
510853210043,2024,42,0,25
510853211001,2024,1630,26,1544
510853211002,2024,2004,71,1299
510853211003,2024,1137,631,209
510853212011,2024,3216,1407,255
510853212012,2024,85,8,46
510853212013,2024,85,7,56
510853212021,2024,16,0,13
510853212022,2024,172,0,5
510853212023,2024,395,85,175
510853213001,2024,169,116,25
510853213002,2024,83,12,38
510853213003,2024,303,34,157
510853213004,2024,1459,644,207
510853214011,2024,240,0,70
510853214021,2024,143,11,24
510853214022,2024,161,0,29
510853214031,2024,189,2,43
510872001061,2024,773,216,309
510872001062,2024,201,8,98
510872001063,2024,10,0,9
510872001064,2024,443,6,370
510872001081,2024,579,57,230
510872001082,2024,288,8,57
510872001091,2024,158,8,34
510872001092,2024,132,20,35
510872001093,2024,248,0,242
510872001221,2024,333,27,148
510872001222,2024,435,233,82
510872001223,2024,105,0,75
510872001231,2024,22,0,10
510872001232,2024,16,0,16
510872001233,2024,185,43,61
510872001241,2024,106,4,33
510872001242,2024,533,69,394
510872001243,2024,604,7,363
510872001251,2024,22,0,21
510872001252,2024,22,2,14
510872001253,2024,24,3,18
510872001254,2024,111,0,86
510872001261,2024,1186,300,619
510872001262,2024,472,343,42
510872001263,2024,286,169,19
510872001271,2024,86,5,41
510872001272,2024,161,3,24
510872001273,2024,215,0,99
510872001274,2024,897,2,693
510872001311,2024,3438,1,3344
510872001312,2024,2408,0,1839
510872001321,2024,174,0,159
510872001322,2024,472,0,415
510872001331,2024,46,0,12
510872001332,2024,113,0,80
510872001333,2024,55,0,24
510872001341,2024,551,9,490
510872001342,2024,31,0,19
510872001343,2024,306,11,50
510872001351,2024,257,34,96
510872001352,2024,236,0,43
510872001361,2024,353,32,216
510872001362,2024,604,105,362
510872001371,2024,19,0,6
510872001372,2024,81,0,51
510872001381,2024,576,187,231
510872001382,2024,113,0,84
510872001383,2024,38,0,28
510872001391,2024,155,3,41
510872001392,2024,31,9,8
510872001393,2024,37,1,3
510872001401,2024,4375,1918,820
510872001402,2024,776,72,406
510872001411,2024,436,43,179
510872001412,2024,2443,495,378
510872001421,2024,161,5,128
510872001422,2024,52,0,24
510872001423,2024,760,292,248
510872001431,2024,193,35,69
510872001441,2024,38,0,10
510872001442,2024,1202,184,267
510872001443,2024,3035,2049,190
510872001451,2024,80,0,37
510872001452,2024,174,0,101
510872001461,2024,27,12,10
510872001462,2024,124,2,6
510872001463,2024,85,25,41
510872001471,2024,125,10,101
510872001472,2024,134,0,114
510872001473,2024,518,1,259
510872001481,2024,3288,261,1300
510872001482,2024,552,0,403
510872001483,2024,533,119,148
510872001491,2024,74,0,54
510872001492,2024,118,0,83
510872001493,2024,48,0,36
510872001494,2024,920,54,229
510872001501,2024,10274,23,5221
510872001502,2024,744,341,322
510872001503,2024,9393,22,5230
510872001511,2024,521,60,324
510872001512,2024,38,0,18
510872001513,2024,3079,33,1799
510872001514,2024,11082,1469,3176
510872001521,2024,23,0,15
510872001522,2024,301,2,161
510872001531,2024,81,0,54
510872001532,2024,1479,643,474
510872001533,2024,484,32,343
510872002011,2024,468,49,274
510872002012,2024,297,42,93
510872002021,2024,308,53,97
510872002022,2024,52,0,6
510872002023,2024,35,1,17
510872002024,2024,270,8,224
510872003011,2024,370,2,346
510872003012,2024,4596,993,2338
510872003021,2024,6411,1,5626
510872003022,2024,238,3,217
510872003023,2024,833,189,304
510872003031,2024,4553,531,1088
510872003032,2024,4213,59,2724
510872003051,2024,3572,149,2378
510872003052,2024,431,0,371
510872003053,2024,802,234,136
510872004041,2024,2354,29,1418
510872004042,2024,24,0,11
510872004043,2024,145,25,60
510872004071,2024,605,172,200
510872004072,2024,18,0,5
510872004073,2024,19,0,2
510872004074,2024,1634,869,102
510872004091,2024,5556,269,1137
510872004111,2024,238,62,62
510872004112,2024,54,7,22
510872004113,2024,2,0,2
510872004114,2024,16,0,12
510872004115,2024,76,20,19
510872004121,2024,259,0,208
510872004122,2024,809,280,316
510872004131,2024,552,78,134
510872004132,2024,536,213,203
510872004133,2024,66,0,54
510872004141,2024,92,6,47
510872004142,2024,61,1,50
510872004143,2024,64,0,40
510872004151,2024,297,2,58
510872004152,2024,14,0,12
510872004153,2024,44,0,29
510872004161,2024,63,0,50
510872004162,2024,59,18,11
510872004163,2024,73,5,34
510872004164,2024,364,10,304
510872004171,2024,31,0,3
510872004172,2024,114,0,88
510872004173,2024,963,472,86
510872004174,2024,243,139,29
510872004181,2024,36,0,20
510872004182,2024,915,162,621
510872004183,2024,8,0,2
510872005011,2024,5193,149,1315
510872005012,2024,3175,239,1569
510872005021,2024,980,42,482
510872005022,2024,13689,502,3942
510872005031,2024,2563,110,672
510872005032,2024,93,0,80
510872005033,2024,4858,588,1877
510872006001,2024,7,0,1
510872006002,2024,110,6,79
510872006003,2024,31,0,4
510872006004,2024,37,0,35
510872007001,2024,31,0,31
510872007002,2024,844,47,648
510872007003,2024,314,96,137
510872007004,2024,720,77,423
510872008011,2024,1237,54,904
510872008012,2024,839,74,334
510872008013,2024,3617,34,3101
510872008021,2024,202,47,101
510872008022,2024,622,418,166
510872008051,2024,2686,46,274
510872008052,2024,95,35,33
510872008053,2024,32,6,7
510872008054,2024,42,5,32
510872008061,2024,299,15,198
510872008071,2024,29,0,3
510872008072,2024,5,0,5
510872008073,2024,111,11,79
510872008074,2024,95,17,36
510872009041,2024,169,6,55
510872009042,2024,173,0,63
510872009043,2024,2912,48,1581
510872009044,2024,174,0,57
510872009051,2024,733,111,49
510872009052,2024,52,19,31
510872009053,2024,23,0,20
510872009054,2024,1021,1,665
510872009061,2024,76,0,34
510872009062,2024,113,0,44
510872009071,2024,61,0,8
510872009072,2024,3540,616,813
510872009073,2024,887,389,230
510872009081,2024,1585,805,382
510872009082,2024,627,105,247
510872010011,2024,471,66,197
510872010012,2024,46,1,15
510872010013,2024,95,35,26
510872010014,2024,112,0,34
510872010021,2024,124,0,14
510872010022,2024,741,77,52
510872010023,2024,192,128,29
510872010031,2024,344,193,93
510872010032,2024,224,4,145
510872010033,2024,35,0,25
510872011021,2024,19,0,17
510872011022,2024,146,71,27
510872011023,2024,6,0,2
510872011024,2024,5,0,5
510872011031,2024,23,0,23
510872011032,2024,155,32,48
510872011041,2024,8435,72,8160
510872011042,2024,684,24,232
510872012031,2024,167,31,27
510872012032,2024,72,0,37
510872012041,2024,108,12,86
510872012042,2024,89,0,17
510872012043,2024,67,11,33
510872012051,2024,337,87,181
510872012052,2024,221,88,19
510872012053,2024,1530,3,297
510872012061,2024,50,0,33
510872012062,2024,25,7,18
510872014031,2024,14,4,5
510872014032,2024,7,2,5
510872014033,2024,177,4,23
510872014034,2024,16,0,14
510872014035,2024,163,23,139
510872014041,2024,69,5,16
510872014042,2024,154,0,27
510872014043,2024,1560,28,613
510872014051,2024,983,436,58
510872014061,2024,621,40,149
510872014062,2024,1924,95,649
510872014063,2024,564,75,106
510872014064,2024,3794,1312,671
510872015021,2024,1204,10,97
510872015022,2024,278,0,45
510872015023,2024,423,18,59
510872015031,2024,48,12,26
510872015032,2024,135,0,45
510872015033,2024,42,0,29
510872015041,2024,5774,443,1018
510872015042,2024,54,0,36
510872015043,2024,111,5,90
510872016011,2024,165,1,52
510872016012,2024,40,18,11
510872016021,2024,105,0,66
510872016022,2024,411,110,47
510872016023,2024,111,14,61
510872016024,2024,755,0,640
510872017011,2024,359,30,119
510872017012,2024,329,52,129
510879801001,2024,1970,32,307
511277001001,2024,92,5,61
511277001002,2024,790,313,177
511277001003,2024,194,16,82
511277002001,2024,269,34,92
511277002002,2024,7,0,5
511277002003,2024,139,15,12
511277002004,2024,176,0,32
511277003011,2024,218,34,95
511277003012,2024,132,0,28
511277003013,2024,1099,122,58
511277003021,2024,1861,35,1084
511277003022,2024,389,64,90
511455001011,2024,328,9,201
511455001012,2024,1221,360,209
511455001013,2024,237,3,83
511455001014,2024,252,64,76
511455001021,2024,309,5,106
511455001022,2024,1500,98,515
511455001023,2024,275,0,121
511455002011,2024,189,4,66
511455002012,2024,740,187,209
511455002013,2024,242,9,53
511455002021,2024,841,11,231
511455002022,2024,172,11,97
511455003001,2024,505,0,31
511455004001,2024,843,7,724
511455004002,2024,142,9,124
511455004003,2024,154,36,26
517600102011,2024,135,32,32
517600102012,2024,351,28,277
517600102021,2024,530,2,430
517600102022,2024,571,47,180
517600103001,2024,144,13,9
517600104011,2024,245,45,48
517600104012,2024,83,0,70
517600104021,2024,356,0,349
517600104022,2024,117,0,46
517600104023,2024,64,0,64
517600105001,2024,12,0,9
517600105002,2024,14,0,12
517600106001,2024,620,54,487
517600107001,2024,32,7,24
517600107002,2024,74,4,14
517600107003,2024,184,24,108
517600108001,2024,49,7,36
517600108002,2024,46,0,42
517600108003,2024,21,0,15
517600109001,2024,177,0,102
517600109002,2024,68,24,18
517600109003,2024,9,1,4
517600109004,2024,518,62,59
517600110001,2024,33,0,16
517600110002,2024,534,6,497
517600110003,2024,22,2,15
517600111001,2024,165,40,53
517600111002,2024,674,116,352
517600111003,2024,347,51,25
517600111004,2024,1396,2,670
517600201001,2024,113,23,57
517600202001,2024,69,0,69
517600202002,2024,41,10,31
517600203001,2024,473,10,453
517600203002,2024,201,87,114
517600204001,2024,35,0,18
517600204002,2024,14,6,6
517600204003,2024,445,24,81
517600204004,2024,115,4,111
517600204005,2024,29,0,18
517600205011,2024,200,23,123
517600205012,2024,1416,4,1036
517600205021,2024,35,3,20
517600205022,2024,353,3,177
