Geo,Year,D3bpo4
510872015033,2024,9.329574
510872015041,2024,1.30851
510872015042,2024,26.08434
510872015043,2024,13.746308
510872016011,2024,0.090575
510872016012,2024,0.130231
510872016021,2024,0.273547
510872016022,2024,0.244604
510872016023,2024,0.077066
510872016024,2024,0.468825
510872017011,2024,15.476951
510872017012,2024,30.737703
510879801001,2024,10.262081
511277001001,2024,0.096518
511277001002,2024,0.551791
511277001003,2024,0.139078
511277002001,2024,0.053679
511277002002,2024,0
511277002003,2024,0.093467
511277002004,2024,0.214238
511277003011,2024,0.21054
511277003012,2024,0.195714
511277003013,2024,0.120398
511277003021,2024,0.075385
511277003022,2024,0.164989
511455001011,2024,0.145413
511455001012,2024,0.481014
511455001013,2024,0
511455001014,2024,0
511455001021,2024,0.280167
511455001022,2024,0.435604
511455001023,2024,0.09539
511455002011,2024,0
511455002012,2024,0.050773
511455002013,2024,0.777293
511455002021,2024,0.306699
511455002022,2024,0.235375
511455003001,2024,0.077356
511455004001,2024,0.046059
511455004002,2024,0
511455004003,2024,0
517600102011,2024,6.074797
517600102012,2024,15.536922
517600102021,2024,2.000293
517600102022,2024,29.375874
517600103001,2024,25.090036
517600104011,2024,44.450607
517600104012,2024,8.265356
517600104021,2024,0
517600104022,2024,7.900159
517600104023,2024,27.073824
517600105001,2024,63.8398
517600105002,2024,29.752912
517600106001,2024,14.435957
517600107001,2024,47.972968
517600107002,2024,19.387866
517600107003,2024,0
517600108001,2024,121.760153
517600108002,2024,74.934233
517600108003,2024,47.233132
517600109001,2024,61.516283
517600109002,2024,71.350207
517600109003,2024,119.071556
517600109004,2024,25.865594
517600110001,2024,27.570826
517600110002,2024,37.302359
517600110003,2024,34.56296
517600111001,2024,61.559412
517600111002,2024,26.795197
517600111003,2024,50.558733
517600111004,2024,30.249331
517600201001,2024,10.944658
517600202001,2024,45.903784
517600202002,2024,71.874249
517600203001,2024,108.594826
517600203002,2024,211.237398
517600204001,2024,10.438803
517600204002,2024,123.55316
517600204003,2024,11.825572
517600204004,2024,9.716335
517600204005,2024,0
517600205011,2024,30.901078
517600205012,2024,52.508824
517600205021,2024,20.863253
517600205022,2024,7.917146
517600205023,2024,15.796864
517600206001,2024,176.351261
517600206002,2024,302.000724
517600207001,2024,85.721132
517600207002,2024,120.297452
517600208001,2024,36.045688
517600208002,2024,94.252823
517600209001,2024,87.491981
517600209002,2024,166.515764
517600209003,2024,15.240752
517600209004,2024,25.145022
517600210001,2024,44.022173
517600210002,2024,75.664818
517600211001,2024,17.064892
517600212001,2024,36.989377
517600301001,2024,85.028752
517600301002,2024,42.639111
517600302001,2024,6.234335
517600302002,2024,10.623034
517600302003,2024,9.888877
517600302004,2024,6.204412
517600305011,2024,1.460579
517600305012,2024,0
517600305013,2024,0
517600305021,2024,6.592121
517600305022,2024,2.440484
517600402011,2024,16.534759
517600402012,2024,8.948826
517600402021,2024,3.396853
517600402022,2024,6.074714
517600403001,2024,17.662203
517600403002,2024,92.304235
517600404001,2024,172.132054
517600404002,2024,8.851902
517600404003,2024,9.75635
517600405001,2024,36.983858
517600405002,2024,37.573857
517600405003,2024,28.302919
517600405004,2024,32.494348
517600406001,2024,44.47845
517600406002,2024,41.437303
517600407001,2024,35.55826
517600407002,2024,51.411436
517600408001,2024,8.670719
517600409001,2024,67.212434
517600409002,2024,15.671352
517600410001,2024,138.468597
517600410002,2024,139.111744
517600411001,2024,0
517600411002,2024,38.335959
517600411003,2024,19.386048
517600411004,2024,35.015367
517600412001,2024,0
517600413001,2024,59.042725
517600413002,2024,59.200315
517600414001,2024,58.91888
517600414002,2024,111.304223
517600416001,2024,30.235893
517600501001,2024,39.331614
517600501002,2024,19.901198
517600501003,2024,35.951067
517600502001,2024,120.583946
517600502002,2024,83.759358
517600502003,2024,77.603272
517600503001,2024,18.616298
517600504001,2024,43.236163
517600504002,2024,44.467592
517600505001,2024,34.775967
517600505002,2024,16.23352
517600505003,2024,130.371817
517600506001,2024,27.302291
517600506002,2024,3.574128
517600602001,2024,44.543193
517600602002,2024,80.871499
517600602003,2024,156.163185
517600604001,2024,32.983171
517600604002,2024,95.706836
517600604003,2024,22.286791
517600604004,2024,9.941406
517600604005,2024,26.023213
517600605011,2024,81.735446
517600605012,2024,77.455635
517600605013,2024,79.76823
517600605021,2024,22.743285
517600605022,2024,4.878135
517600605023,2024,4.167654
517600606001,2024,30.66932
517600606002,2024,34.480793
517600606003,2024,17.099005
517600607001,2024,24.553081
517600607002,2024,1.354086
517600607003,2024,25.289064
517600607004,2024,52.36
517600607005,2024,50.737556
517600608001,2024,11.358632
517600608002,2024,4.868393
517600608003,2024,10.260854
517600608004,2024,14.814227
517600609001,2024,6.76917
517600610011,2024,29.463238
517600610012,2024,6.05823
517600610013,2024,1.460874
517600610021,2024,1.894932
517600610022,2024,2.015558
517600610023,2024,14.767583
517600701001,2024,10.334567
517600701002,2024,10.562832
517600701003,2024,3.960819
517600701004,2024,2.524226
517600703001,2024,3.474393
517600703002,2024,7.948744
517600704001,2024,5.614379
517600704002,2024,11.161557
517600704003,2024,19.328152
517600706011,2024,3.045374
517600706012,2024,28.341919
517600706013,2024,0
517600706014,2024,0
517600706021,2024,37.940615
517600706022,2024,20.610058
517600707001,2024,2.894808
517600707002,2024,5.460141
517600707003,2024,8.836426
517600708021,2024,11.994179
517600708022,2024,2.727955
517600708031,2024,12.22185
517600708032,2024,4.108744
517600708041,2024,4.869182
517600708042,2024,2.301065
517600708043,2024,7.263812
517600709011,2024,10.60517
517600709012,2024,2.136487
517600709013,2024,10.909068
517600709021,2024,0
517600709022,2024,0.911851
517600709023,2024,4.396344
517600710021,2024,12.53517
517600710022,2024,4.194793
517600710031,2024,2.946944
517600710032,2024,9.090471
517600710041,2024,1.699158
517600710042,2024,20.757566
517600711001,2024,4.092283
517600711002,2024,5.61671
517600711003,2024,12.879179
517600711004,2024,4.245613
510366001001,2045,0.296739
510366001002,2045,0.125196
510366002001,2045,0.053583
510366002002,2045,0.083928
510366003001,2045,0
510366003002,2045,0
510411001061,2045,3.074325
510411001062,2045,9.268856
510411001071,2045,1.061885
510411001072,2045,0.68002
510411002061,2045,4.33019
510411002062,2045,3.144431
510411002063,2045,14.606342
510411002064,2045,6.07208
510411002065,2045,2.974462
510411002081,2045,7.578963
510411002082,2045,11.455609
510411002091,2045,2.91919
510411002092,2045,7.453934
510411002093,2045,10.259719
510411002094,2045,11.220258
510411002101,2045,3.830467
510411002111,2045,9.586757
510411002112,2045,14.352977
510411002121,2045,7.841127
510411002122,2045,7.170525
510411002123,2045,5.645598
510411003001,2045,1.815554
510411003002,2045,4.938535
510411004031,2045,0.593564
510411004032,2045,0.368502
510411004033,2045,0.82362
510411004034,2045,0.149118
510411004035,2045,0.752145
510411004041,2045,0.148395
510411004042,2045,0
510411004051,2045,13.621692
510411004052,2045,14.818903
510411004061,2045,21.250689
510411004071,2045,9.08601
510411004072,2045,2.336755
510411004073,2045,10.322322
510411004091,2045,6.537773
510411004092,2045,3.51347
510411004093,2045,8.611284
510411004094,2045,4.423332
510411004095,2045,6.630103
510411004101,2045,2.877723
510411004102,2045,4.921752
510411005051,2045,9.855873
510411005052,2045,2.107227
510411005053,2045,4.024529
510411005054,2045,8.705315
510411005055,2045,18.15316
510411005061,2045,5.385649
510411005062,2045,0.510708
510411005063,2045,10.286012
510411005064,2045,1.027996
510411005065,2045,0.944503
510411005071,2045,3.337478
510411005072,2045,2.49551
510411005073,2045,4.110428
510411005081,2045,6.378816
510411005082,2045,2.821704
510411005091,2045,0.293225
510411005092,2045,1.015795
510411005093,2045,1.406033
510411005094,2045,1.966923
510411005101,2045,21.676325
510411005102,2045,6.016471
510411006001,2045,5.657561
510411006002,2045,95.473612
510411006003,2045,4.969139
510411007011,2045,8.219487
510411007012,2045,0
510411007013,2045,4.599929
510411007014,2045,0.747669
510411007021,2045,0.666025
510411007041,2045,0.370292
510411007042,2045,0.211676
510411007043,2045,0.309015
510411007051,2045,0.116249
510411007052,2045,0.541264
510411008041,2045,3.700596
510411008042,2045,12.375043
510411008043,2045,12.788506
510411008051,2045,9.367866
510411008052,2045,21.708658
510411008053,2045,4.296793
510411008054,2045,5.316538
510411008061,2045,10.610421
510411008062,2045,15.675821
510411008071,2045,5.969735
510411008121,2045,3.01795
510411008122,2045,1.894297
510411008123,2045,7.365002
510411008141,2045,3.835434
510411008142,2045,6.102735
510411008151,2045,10.040034
510411008152,2045,7.533952
510411008161,2045,8.930824
510411008162,2045,7.220075
510411008163,2045,7.163051
510411008171,2045,19.686968
510411008172,2045,4.394815
510411008181,2045,7.00978
510411008182,2045,5.278031
510411008191,2045,6.505976
510411008192,2045,4.288449
510411008193,2045,3.686348
510411008201,2045,0.565373
510411008202,2045,2.531127
510411008211,2045,0.449067
510411008212,2045,0.578178
510411008213,2045,0.393293
510411008221,2045,0.168352
510411008222,2045,3.672034
510411008223,2045,1.199347
510411008231,2045,4.943553
510411008232,2045,1.688175
510411008233,2045,4.125945
510411009021,2045,17.504151
510411009022,2045,7.909447
510411009023,2045,18.403997
510411009071,2045,2.343874
510411009072,2045,0
510411009101,2045,12.674071
510411009102,2045,8.302054
510411009103,2045,4.058737
510411009104,2045,11.865109
510411009121,2045,1.06231
510411009122,2045,2.346376
510411009123,2045,2.812853
510411009124,2045,1.560062
510411009151,2045,3.702308
510411009152,2045,5.997293
510411009191,2045,4.007805
510411009192,2045,7.032501
510411009193,2045,3.724359
510411009201,2045,14.895122
510411009211,2045,26.949348
510411009212,2045,7.931899
510411009213,2045,22.245279
510411009214,2045,4.791454
510411009221,2045,6.271076
510411009222,2045,6.027421
510411009223,2045,7.367884
510411009231,2045,10.120361
510411009232,2045,5.653866
510411009241,2045,0.735129
510411009242,2045,2.528652
510411009261,2045,1.738409
510411009262,2045,2.739245
510411009263,2045,1.515077
510411009264,2045,1.787154
510411009281,2045,1.510213
510411009282,2045,1.628107
510411009283,2045,4.183297
510411009291,2045,2.815768
510411009292,2045,4.410966
510411009293,2045,6.626147
