Geo,Year,SFDU,MFDU,GQDU
510872001241,2024,348,66,7
510872001242,2024,455,453,9
510872001243,2024,328,313,0
510872001251,2024,0,297,0
510872001252,2024,27,309,0
510872001253,2024,0,707,0
510872001254,2024,0,602,0
510872001261,2024,121,367,0
510872001262,2024,16,1052,0
510872001263,2024,0,630,0
510872001271,2024,275,53,0
510872001272,2024,946,0,0
510872001273,2024,457,168,0
510872001274,2024,193,333,55
510872001311,2024,68,379,0
510872001312,2024,371,78,1
510872001321,2024,679,37,0
510872001322,2024,552,272,1
510872001331,2024,252,0,0
510872001332,2024,23,689,0
510872001333,2024,0,260,0
510872001341,2024,869,162,0
510872001342,2024,175,154,0
510872001343,2024,483,277,0
510872001351,2024,272,401,0
510872001352,2024,303,6,5
510872001361,2024,826,200,0
510872001362,2024,178,444,0
510872001371,2024,99,515,0
510872001372,2024,294,0,0
510872001381,2024,40,378,0
510872001382,2024,242,533,0
510872001383,2024,561,140,0
510872001391,2024,664,246,0
510872001392,2024,39,445,0
510872001393,2024,142,366,0
510872001401,2024,15,912,0
510872001402,2024,857,364,19
510872001411,2024,568,144,7
510872001412,2024,30,455,0
510872001421,2024,426,11,0
510872001422,2024,372,13,9
510872001423,2024,330,375,0
510872001431,2024,669,111,0
510872001441,2024,0,552,0
510872001442,2024,22,831,0
510872001443,2024,46,328,7
510872001451,2024,778,0,0
510872001452,2024,675,0,0
510872001461,2024,61,265,0
510872001462,2024,258,57,0
510872001463,2024,634,0,0
510872001471,2024,790,0,0
510872001472,2024,646,0,0
510872001473,2024,1124,182,0
510872001481,2024,699,238,0
510872001482,2024,0,337,0
510872001483,2024,242,220,0
510872001491,2024,299,56,0
510872001492,2024,416,64,0
510872001493,2024,378,25,0
510872001494,2024,61,771,0
510872001501,2024,536,20,0
510872001502,2024,526,136,0
510872001503,2024,199,212,0
510872001511,2024,242,362,0
510872001512,2024,453,0,0
510872001513,2024,300,494,0
510872001514,2024,50,675,0
510872001521,2024,666,54,0
510872001522,2024,375,242,182
510872001531,2024,8,538,0
510872001532,2024,48,586,0
510872001533,2024,501,0,0
510872002011,2024,623,20,0
510872002012,2024,676,1,0
510872002021,2024,308,0,0
510872002022,2024,405,0,0
510872002023,2024,331,0,0
510872002024,2024,497,0,0
510872003011,2024,186,214,0
510872003012,2024,246,277,2
510872003021,2024,368,80,1
510872003022,2024,435,90,0
510872003023,2024,562,11,1
510872003031,2024,220,592,0
510872003032,2024,622,0,0
510872003051,2024,363,47,0
510872003052,2024,555,125,0
510872003053,2024,380,450,9
510872004041,2024,495,31,0
510872004042,2024,0,658,0
510872004043,2024,182,0,0
510872004071,2024,830,0,7
510872004072,2024,422,0,0
510872004073,2024,36,277,0
510872004074,2024,343,298,0
510872004091,2024,413,392,0
510872004111,2024,194,686,5
510872004112,2024,29,578,0
510872004113,2024,15,190,0
510872004114,2024,273,424,0
510872004115,2024,232,0,0
510872004121,2024,12,425,0
510872004122,2024,54,638,0
510872004131,2024,864,198,0
510872004132,2024,454,5,0
510872004133,2024,255,273,0
510872004141,2024,1037,0,6
510872004142,2024,427,12,6
510872004143,2024,667,90,6
510872004151,2024,961,127,0
510872004152,2024,37,125,0
510872004153,2024,0,358,0
510872004161,2024,18,771,0
510872004162,2024,686,36,0
510872004163,2024,426,0,8
510872004164,2024,644,57,8
510872004171,2024,0,368,0
510872004172,2024,0,699,0
510872004173,2024,18,319,0
510872004174,2024,0,225,0
510872004181,2024,8,776,16
510872004182,2024,154,0,0
510872004183,2024,230,231,0
510872005011,2024,562,112,0
510872005012,2024,113,656,0
510872005021,2024,567,14,10
510872005022,2024,328,132,3
510872005031,2024,282,65,0
510872005032,2024,763,18,0
510872005033,2024,302,215,3
510872006001,2024,315,240,0
510872006002,2024,468,302,7
510872006003,2024,478,229,0
510872006004,2024,421,0,2
510872007001,2024,55,238,0
510872007002,2024,60,433,217
510872007003,2024,321,0,0
510872007004,2024,589,225,0
510872008011,2024,481,0,0
510872008012,2024,127,356,0
510872008013,2024,127,482,6
510872008021,2024,497,5,10
510872008022,2024,442,7,21
510872008051,2024,245,0,0
510872008052,2024,328,151,9
510872008053,2024,76,283,0
510872008054,2024,268,135,0
510872008061,2024,577,145,0
510872008071,2024,0,374,0
510872008072,2024,0,402,0
510872008073,2024,0,793,0
510872008074,2024,395,207,0
510872009041,2024,696,0,16
510872009042,2024,782,0,2
510872009043,2024,462,0,17
510872009044,2024,145,970,0
510872009051,2024,402,0,0
510872009052,2024,619,0,1
510872009053,2024,255,180,1
510872009054,2024,635,185,0
510872009061,2024,763,86,15
510872009062,2024,877,96,7
510872009071,2024,296,10,0
510872009072,2024,22,271,3
510872009073,2024,926,631,16
510872009081,2024,425,136,4
510872009082,2024,425,139,0
510872010011,2024,615,0,0
510872010012,2024,566,292,0
510872010013,2024,164,317,0
510872010014,2024,727,103,0
510872010021,2024,478,36,6
510872010022,2024,227,14,0
510872010023,2024,296,292,0
510872010031,2024,749,385,1
510872010032,2024,873,372,0
510872010033,2024,311,106,0
510872011021,2024,495,0,0
510872011022,2024,497,154,7
510872011023,2024,76,554,0
510872011024,2024,60,137,0
510872011031,2024,0,505,0
510872011032,2024,355,698,0
510872011041,2024,746,265,21
510872011042,2024,269,372,5
510872012031,2024,262,51,0
510872012032,2024,757,10,0
510872012041,2024,768,0,12
510872012042,2024,368,31,0
510872012043,2024,509,43,0
510872012051,2024,260,428,0
510872012052,2024,147,214,0
510872012053,2024,475,50,0
510872012061,2024,438,225,0
510872012062,2024,398,124,0
510872014031,2024,74,16,0
510872014032,2024,565,0,0
510872014033,2024,898,0,0
510872014034,2024,84,386,0
510872014035,2024,185,179,0
510872014041,2024,915,0,0
510872014042,2024,319,354,0
510872014043,2024,330,0,0
510872014051,2024,1030,17,0
510872014061,2024,280,365,7
510872014062,2024,149,187,0
510872014063,2024,222,361,0
510872014064,2024,126,37,0
510872015021,2024,512,0,6
510872015022,2024,1080,78,12
510872015023,2024,592,0,2
510872015031,2024,971,51,0
510872015032,2024,622,185,0
510872015033,2024,312,356,0
510872015041,2024,663,122,0
510872015042,2024,51,461,0
510872015043,2024,634,8,21
510872016011,2024,813,0,11
510872016012,2024,756,80,0
510872016021,2024,293,16,7
510872016022,2024,618,16,7
510872016023,2024,703,0,0
510872016024,2024,318,623,0
510872017011,2024,868,162,0
510872017012,2024,572,0,0
510879801001,2024,1,0,0
511277001001,2024,660,0,9
511277001002,2024,1556,77,0
511277001003,2024,643,11,0
511277002001,2024,702,0,7
511277002002,2024,367,78,0
511277002003,2024,584,56,0
511277002004,2024,704,16,0
511277003011,2024,623,0,0
511277003012,2024,551,1,0
511277003013,2024,1250,124,11
511277003021,2024,1077,0,0
511277003022,2024,715,0,18
511455001011,2024,791,0,0
511455001012,2024,1015,14,0
511455001013,2024,797,0,0
511455001014,2024,479,10,0
511455001021,2024,1141,0,0
511455001022,2024,476,13,2
511455001023,2024,545,0,5
511455002011,2024,777,0,0
511455002012,2024,1004,31,0
511455002013,2024,833,75,0
511455002021,2024,889,110,35
511455002022,2024,564,51,0
511455003001,2024,193,0,0
511455004001,2024,886,0,0
511455004002,2024,458,0,0
511455004003,2024,869,0,0
517600102011,2024,242,333,0
517600102012,2024,547,9,0
517600102021,2024,52,1278,9
517600102022,2024,414,13,0
517600103001,2024,240,535,0
517600104011,2024,657,240,0
517600104012,2024,259,641,0
517600104021,2024,157,152,19
517600104022,2024,356,697,24
517600104023,2024,110,253,92
517600105001,2024,226,128,0
517600105002,2024,376,0,1
517600106001,2024,717,254,2
517600107001,2024,326,108,0
517600107002,2024,339,90,5
517600107003,2024,262,77,0
517600108001,2024,747,53,0
517600108002,2024,466,76,0
517600108003,2024,387,61,0
517600109001,2024,256,100,37
517600109002,2024,237,38,20
517600109003,2024,221,40,0
517600109004,2024,217,262,0
517600110001,2024,258,157,0
517600110002,2024,179,99,0
517600110003,2024,208,252,0
517600111001,2024,398,128,0
517600111002,2024,98,153,0
517600111003,2024,0,717,0
517600111004,2024,24,111,497
517600201001,2024,269,377,0
517600202001,2024,306,358,0
517600202002,2024,215,479,0
517600203001,2024,213,95,0
517600203002,2024,634,115,3
517600204001,2024,234,576,0
517600204002,2024,68,168,0
517600204003,2024,33,224,2
517600204004,2024,208,39,0
517600204005,2024,0,237,0
517600205011,2024,30,612,0
517600205012,2024,46,1865,12
517600205021,2024,158,568,0
517600205022,2024,19,1184,0
517600205023,2024,0,612,38
517600206001,2024,271,569,71
517600206002,2024,98,283,0
517600207001,2024,146,246,5
517600207002,2024,199,279,0
517600208001,2024,248,352,0
517600208002,2024,150,390,0
517600209001,2024,231,256,85
517600209002,2024,188,251,0
517600209003,2024,116,348,0
517600209004,2024,289,119,0
517600210001,2024,268,535,0
517600210002,2024,191,65,5
517600211001,2024,733,325,56
517600212001,2024,569,240,0
517600301001,2024,0,358,0
517600301002,2024,25,792,0
517600302001,2024,12,312,0
517600302002,2024,0,48,44
517600302003,2024,175,627,10
517600302004,2024,53,321,0
517600305011,2024,7,717,21
517600305012,2024,108,622,4
517600305013,2024,0,572,129
517600305021,2024,0,915,79
517600305022,2024,16,1073,0
517600402011,2024,78,606,99
517600402012,2024,5,157,1307
517600402021,2024,0,1754,17
517600402022,2024,157,839,40
517600403001,2024,32,292,0
517600403002,2024,22,212,4832
517600404001,2024,265,359,0
517600404002,2024,93,753,0
517600404003,2024,37,410,400
517600405001,2024,60,524,0
517600405002,2024,155,423,22
517600405003,2024,120,172,0
517600405004,2024,98,275,23
517600406001,2024,53,494,0
517600406002,2024,79,472,0
517600407001,2024,248,502,0
517600407002,2024,58,859,0
517600408001,2024,153,612,0
517600409001,2024,136,536,0
517600409002,2024,100,581,0
517600410001,2024,181,341,0
517600410002,2024,146,666,0
517600411001,2024,50,364,0
